"장소유형코드",대상시설명,시도명,시군구명,시군구코드,소재지도로명주소,소재지지번주소,위도,경도,제한속도,관리기관명,관리기관전화번호,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자
01,대흥경로당,충청남도,천안시 동남구,44131,충청남도 천안시 동남구 광덕면 광풍로 859,충청남도 천안시 동남구 광덕면 매당리 450-2,36.70344196,127.1058614,30,충청남도 천안시,041-521-5893,충청남도 천안시 동남경찰서,N,,6,2023-06-27
01,천안실버타운,충청남도,천안시 동남구,44131,충청남도 천안시 동남구 목천읍 운전4길 6,충청남도 천안시 동남구 목천읍 운전리 41-9,36.76529958,127.2306417,30,충청남도 천안시,041-521-5893,충청남도 천안시 동남경찰서,N,,4,2023-06-27
01,아우내은빛복지관,충청남도,천안시 동남구,44131,충청남도 천안시 동남구 병천면 병천2로 51,충청남도 천안시 동남구 병천면 병천리 120-3,36.76601368,127.3020983,30,충청남도 천안시,041-521-5893,충청남도 천안시 동남경찰서,N,,6~9,2023-06-27
01,행복나눔전문요양원,충청남도,천안시 동남구,44131,충청남도 천안시 동남구 태조산길 266,충청남도 천안시 동남구 유량동 50,36.8205683,127.1888392,30,충청남도 천안시,041-521-5893,충청남도 천안시 동남경찰서,N,,6,2023-06-27
01,천안시립노인전문병원,충청남도,천안시 동남구,44131,충청남도 천안시 동남구 목천읍 삼방로 735,충청남도 천안시 동남구 목천읍 송전리 431,36.82541955,127.2261949,30,충청남도 천안시,041-521-5893,충청남도 천안시 동남경찰서,N,,6,2023-06-27
01,천안시종합사회복지관,충청남도,천안시 동남구,44131,충청남도 천안시 동남구 천안대로 361,충청남도 천안시 동남구 삼룡동 332-1,36.78121464,127.1641566,30,충청남도 천안시,041-521-5893,충청남도 천안시 동남경찰서,N,,12,2023-06-27
01,보산원1구노인회관,충청남도,천안시 동남구,44131,충청남도 천안시 동남구 광덕면 보산원4길 6,충청남도 천안시 동남구 광덕면 보산원리 299-1,36.69073967,127.0752132,30,충청남도 천안시,041-521-5893,충청남도 천안시 동남경찰서,N,,6,2023-06-27
01,매당1리노인회관,충청남도,천안시 동남구,44131,충청남도 천안시 동남구 광덕면 쇳골길 16,충청남도 천안시 동남구 광덕면 매당리 571-4,36.70017384,127.0987451,30,충청남도 천안시,041-521-5893,충청남도 천안시 동남경찰서,N,,6,2023-06-27
01,매송1리 경로당,충청남도,천안시 동남구,44131,충청남도 천안시 동남구 북면 매송1길 140-16,충청남도 천안시 동남구 북면 매송리 303-6,36.81134219,127.275642,30,충청남도 천안시,041-521-5893,충청남도 천안시 동남경찰서,N,,6,2023-06-27
01,석곡1리 경로당,충청남도,천안시 동남구,44131,충청남도 천안시 동남구 성남면 약수로 302,충청남도 천안시 동남구 성남면 석곡리 6,36.74141745,127.2227304,30,충청남도 천안시,041-521-5893,충청남도 천안시 동남경찰서,Y,1,6~8,2023-06-27
01,광덕리2구 노인회관,충청남도,천안시 동남구,44131,충청남도 천안시 동남구 광덕면 광풍로 230,충청남도 천안시 동남구 광덕면 광덕리 596-1,36.6724928,127.0509036,30,충청남도 천안시,041-521-5893,충청남도 천안시 동남경찰서,N,,10,2023-06-27
01,대평2리노인회관,충청남도,천안시 동남구,44131,충청남도 천안시 동남구 광덕면 차령고개로 817-9,충청남도 천안시 동남구 광덕면 대평리 261-2,36.67430567,127.1445121,30,충청남도 천안시,041-521-5893,충청남도 천안시 동남경찰서,Y,1,6,2023-06-27
01,용원2리 경로당,충청남도,천안시 동남구,44131,충청남도 천안시 동남구 성남면 용원2길 37,충청남도 천안시 동남구 성남면 용원리 161-3,36.75479222,127.2203026,30,충청남도 천안시,041-521-5893,충청남도 천안시 동남경찰서,N,,6,2023-06-27
01,신안27통 노인회관,충청남도,천안시 동남구,44131,충청남도 천안시 동남구 문암로 47,충청남도 천안시 동남구 안서동 526-64,36.83990322,127.1790759,30,충청남도 천안시,041-521-5893,충청남도 천안시 동남경찰서,Y,2,12,2023-06-27
01,광덕3리경로당,충청남도,천안시 동남구,44131,충청남도 천안시 동남구 광덕면 휴암1길 5,충청남도 천안시 동남구 광덕면 광덕리 171-1,36.67773368,127.058457,30,충청남도 천안시,041-521-5893,충청남도 천안시 동남경찰서,Y,1,6,2023-06-27
01,도장3리 경로당,충청남도,천안시 동남구,44131,충청남도 천안시 동남구 목천읍 도장로 185-7,충청남도 천안시 동남구 목천읍 도장리 151-1,36.7519885,127.1877598,30,충청남도 천안시,041-521-5893,충청남도 천안시 동남경찰서,N,,6,2023-06-27
01,매당3리 경로당,충청남도,천안시 동남구,44131,충청남도 천안시 동남구 광덕면 광풍로 951,충청남도 천안시 동남구 광덕면 매당리 281-2,36.70921556,127.1129376,30,충청남도 천안시,041-521-5893,충청남도 천안시 동남경찰서,N,,6~12,2023-06-27
01,봉서당노인회관,충청남도,천안시 서북구,44133,충청남도 천안시 서북구 쌍용11길 57,충청남도 천안시 서북구 쌍용동 1284,36.80249447,127.1264293,30,충청남도 천안시,041-521-5885,충청남도 천안시 서북경찰서,N,,6,2023-06-27
01,사라리노인회관,충청남도,천안시 서북구,44133,충청남도 천안시 서북구 2공단1로 37,충청남도 천안시 서북구 성성동 481-11,36.84695028,127.1184019,30,충청남도 천안시,041-521-5885,충청남도 천안시 서북경찰서,N,,6,2023-06-27
01,수헐리노인회관,충청남도,천안시 서북구,44133,충청남도 천안시 서북구 직산읍 군수1길 13,충청남도 천안시 서북구 직산읍 수헐리 7-11,36.89439324,127.1380453,30,충청남도 천안시,041-521-5885,충청남도 천안시 서북경찰서,N,,6,2023-06-27
01,천안시노인종합복지관,충청남도,천안시 서북구,44133,충청남도 천안시 서북구 미라11길 16,충청남도 천안시 서북구 쌍용동 1038,36.80427974,127.1292871,30,충청남도 천안시,041-521-5885,충청남도 천안시 서북경찰서,Y,1,6,2023-06-27
